title;url;date_time
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle;https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html;2020-12-11 09:06:27.060557
Burning;https://books.toscrape.com/catalogue/burning_884/index.html;2020-12-11 09:06:27.060557
Bossypants;https://books.toscrape.com/catalogue/bossypants_883/index.html;2020-12-11 09:06:27.060557
Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions));https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html;2020-12-11 09:06:27.060557
Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3);https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html;2020-12-11 09:06:27.060557
Algorithms to Live By: The Computer Science of Human Decisions;https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html;2020-12-11 09:06:27.060557
A World of Flavor: Your Gluten Free Passport;https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html;2020-12-11 09:06:27.060557
A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations;https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html;2020-12-11 09:06:27.060557
A Murder in Time;https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html;2020-12-11 09:06:27.060557
A Flight of Arrows (The Pathfinders #2);https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html;2020-12-11 09:06:27.060557
A Fierce and Subtle Poison;https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html;2020-12-11 09:06:27.060557
A Court of Thorns and Roses (A Court of Thorns and Roses #1);https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html;2020-12-11 09:06:27.060557
(Un)Qualified: How God Uses Broken People to Do Big Things;https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html;2020-12-11 09:06:27.060557
You Are What You Love: The Spiritual Power of Habit;https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html;2020-12-11 09:06:27.060557
William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4);https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html;2020-12-11 09:06:27.060557
Tuesday Nights in 1980;https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html;2020-12-11 09:06:27.060557
Tracing Numbers on a Train;https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html;2020-12-11 09:06:27.060557
Throne of Glass (Throne of Glass #1);https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html;2020-12-11 09:06:27.060557
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History;https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html;2020-12-11 09:06:27.060557
Thirteen Reasons Why;https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html;2020-12-11 09:06:27.060557
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ;https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html;2020-12-11 09:06:27.060557
The Wedding Dress;https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html;2020-12-11 09:06:27.060557
The Vacationers;https://books.toscrape.com/catalogue/the-vacationers_863/index.html;2020-12-11 09:06:27.060557
The Third Wave: An Entrepreneurâs Vision of the Future;https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html;2020-12-11 09:06:27.060557
The Stranger;https://books.toscrape.com/catalogue/the-stranger_861/index.html;2020-12-11 09:06:27.060557
